 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 313200 Itacambira
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";254;227;481
"De 5 a 9 anos";291;241;532
"De 10 a 14 anos";309;291;600
"De 15 a 19 anos";337;295;632
"De 20 a 24 anos";259;209;468
"De 25 a 29 anos";154;119;273
"De 30 a 34 anos";147;116;263
"De 35 a 39 anos";134;128;262
"De 40 a 44 anos";120;104;224
"De 45 a 49 anos";95;97;192
"De 50 a 54 anos";100;105;205
"De 55 a 59 anos";89;93;182
"De 60 a 64 anos";77;67;144
"De 65 a 69 anos";56;55;111
"De 70 a 74 anos";21;26;47
"De 75 a 79 anos";19;11;30
"De 80 anos ou mais";13;16;29
"Total";2475;2200;4675
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

