 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 313700 Ladainha
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";950;908;1858
"De 5 a 9 anos";1044;988;2032
"De 10 a 14 anos";898;926;1824
"De 15 a 19 anos";944;923;1867
"De 20 a 24 anos";895;882;1777
"De 25 a 29 anos";674;612;1286
"De 30 a 34 anos";452;423;875
"De 35 a 39 anos";421;455;876
"De 40 a 44 anos";416;440;856
"De 45 a 49 anos";343;360;703
"De 50 a 54 anos";306;347;653
"De 55 a 59 anos";270;284;554
"De 60 a 64 anos";221;263;484
"De 65 a 69 anos";208;237;445
"De 70 a 74 anos";133;170;303
"De 75 a 79 anos";112;122;234
"De 80 anos ou mais";81;134;215
"Total";8368;8474;16842
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

