 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 313730 Lagoa dos Patos
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";156;149;305
"De 5 a 9 anos";160;143;303
"De 10 a 14 anos";167;131;298
"De 15 a 19 anos";174;148;322
"De 20 a 24 anos";185;180;365
"De 25 a 29 anos";189;178;367
"De 30 a 34 anos";169;168;337
"De 35 a 39 anos";161;153;314
"De 40 a 44 anos";148;121;269
"De 45 a 49 anos";123;109;232
"De 50 a 54 anos";117;101;218
"De 55 a 59 anos";101;81;182
"De 60 a 64 anos";79;73;152
"De 65 a 69 anos";74;78;152
"De 70 a 74 anos";57;64;121
"De 75 a 79 anos";38;38;76
"De 80 anos ou mais";51;60;111
"Total";2149;1975;4124
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

