 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 313740 Lagoa Dourada
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";530;507;1037
"De 5 a 9 anos";567;530;1097
"De 10 a 14 anos";600;551;1151
"De 15 a 19 anos";604;518;1122
"De 20 a 24 anos";632;544;1176
"De 25 a 29 anos";570;533;1103
"De 30 a 34 anos";480;399;879
"De 35 a 39 anos";447;399;846
"De 40 a 44 anos";417;418;835
"De 45 a 49 anos";369;353;722
"De 50 a 54 anos";293;241;534
"De 55 a 59 anos";243;203;446
"De 60 a 64 anos";169;205;374
"De 65 a 69 anos";149;160;309
"De 70 a 74 anos";124;112;236
"De 75 a 79 anos";87;86;173
"De 80 anos ou mais";61;75;136
"Total";6342;5834;12176
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

