 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 313860 Lima Duarte
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";656;651;1307
"De 5 a 9 anos";707;709;1416
"De 10 a 14 anos";723;684;1407
"De 15 a 19 anos";719;686;1405
"De 20 a 24 anos";680;647;1327
"De 25 a 29 anos";618;597;1215
"De 30 a 34 anos";630;590;1220
"De 35 a 39 anos";665;619;1284
"De 40 a 44 anos";613;566;1179
"De 45 a 49 anos";484;475;959
"De 50 a 54 anos";386;392;778
"De 55 a 59 anos";341;339;680
"De 60 a 64 anos";288;292;580
"De 65 a 69 anos";254;244;498
"De 70 a 74 anos";192;197;389
"De 75 a 79 anos";143;171;314
"De 80 anos ou mais";104;133;237
"Total";8203;7992;16195
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

