 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 313980 Mar de Espanha
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";432;487;919
"De 5 a 9 anos";467;507;974
"De 10 a 14 anos";495;489;984
"De 15 a 19 anos";518;494;1012
"De 20 a 24 anos";445;441;886
"De 25 a 29 anos";374;385;759
"De 30 a 34 anos";383;410;793
"De 35 a 39 anos";400;434;834
"De 40 a 44 anos";376;404;780
"De 45 a 49 anos";320;348;668
"De 50 a 54 anos";274;294;568
"De 55 a 59 anos";236;247;483
"De 60 a 64 anos";205;207;412
"De 65 a 69 anos";167;185;352
"De 70 a 74 anos";136;158;294
"De 75 a 79 anos";109;125;234
"De 80 anos ou mais";65;102;167
"Total";5402;5717;11119
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

