 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314190 Minduri
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";198;145;343
"De 5 a 9 anos";200;220;420
"De 10 a 14 anos";200;217;417
"De 15 a 19 anos";192;187;379
"De 20 a 24 anos";157;164;321
"De 25 a 29 anos";138;140;278
"De 30 a 34 anos";139;149;288
"De 35 a 39 anos";148;144;292
"De 40 a 44 anos";121;120;241
"De 45 a 49 anos";109;115;224
"De 50 a 54 anos";106;73;179
"De 55 a 59 anos";67;83;150
"De 60 a 64 anos";61;65;126
"De 65 a 69 anos";39;46;85
"De 70 a 74 anos";41;50;91
"De 75 a 79 anos";19;41;60
"De 80 anos ou mais";17;22;39
"Total";1952;1981;3933
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

