 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314290 Monte Azul
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";937;912;1849
"De 5 a 9 anos";1137;1114;2251
"De 10 a 14 anos";1274;1265;2539
"De 15 a 19 anos";1309;1316;2625
"De 20 a 24 anos";1106;1139;2245
"De 25 a 29 anos";822;878;1700
"De 30 a 34 anos";745;811;1556
"De 35 a 39 anos";787;843;1630
"De 40 a 44 anos";727;751;1478
"De 45 a 49 anos";621;627;1248
"De 50 a 54 anos";536;545;1081
"De 55 a 59 anos";459;487;946
"De 60 a 64 anos";385;405;790
"De 65 a 69 anos";302;321;623
"De 70 a 74 anos";218;240;458
"De 75 a 79 anos";184;186;370
"De 80 anos ou mais";145;175;320
"Total";11694;12015;23709
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

