 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314430 Nanuque
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1444;1371;2815
"De 5 a 9 anos";1525;1421;2946
"De 10 a 14 anos";1659;1558;3217
"De 15 a 19 anos";1676;1732;3408
"De 20 a 24 anos";1636;1667;3303
"De 25 a 29 anos";1659;1670;3329
"De 30 a 34 anos";1673;1711;3384
"De 35 a 39 anos";1538;1548;3086
"De 40 a 44 anos";1326;1344;2670
"De 45 a 49 anos";1321;1294;2615
"De 50 a 54 anos";1128;1172;2300
"De 55 a 59 anos";943;1086;2029
"De 60 a 64 anos";740;908;1648
"De 65 a 69 anos";610;784;1394
"De 70 a 74 anos";529;662;1191
"De 75 a 79 anos";389;463;852
"De 80 anos ou mais";427;591;1018
"Total";20223;20982;41205
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

