 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314440 Natércia
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";169;163;332
"De 5 a 9 anos";177;176;353
"De 10 a 14 anos";182;186;368
"De 15 a 19 anos";210;201;411
"De 20 a 24 anos";198;173;371
"De 25 a 29 anos";187;154;341
"De 30 a 34 anos";185;163;348
"De 35 a 39 anos";204;178;382
"De 40 a 44 anos";200;173;373
"De 45 a 49 anos";183;138;321
"De 50 a 54 anos";151;127;278
"De 55 a 59 anos";115;103;218
"De 60 a 64 anos";82;93;175
"De 65 a 69 anos";72;89;161
"De 70 a 74 anos";70;65;135
"De 75 a 79 anos";54;55;109
"De 80 anos ou mais";34;46;80
"Total";2473;2283;4756
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

