 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314450 Nazareno
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";261;246;507
"De 5 a 9 anos";324;287;611
"De 10 a 14 anos";391;353;744
"De 15 a 19 anos";356;340;696
"De 20 a 24 anos";319;283;602
"De 25 a 29 anos";321;294;615
"De 30 a 34 anos";332;288;620
"De 35 a 39 anos";315;298;613
"De 40 a 44 anos";337;308;645
"De 45 a 49 anos";283;261;544
"De 50 a 54 anos";274;219;493
"De 55 a 59 anos";212;185;397
"De 60 a 64 anos";164;163;327
"De 65 a 69 anos";125;130;255
"De 70 a 74 anos";100;104;204
"De 75 a 79 anos";69;77;146
"De 80 anos ou mais";56;83;139
"Total";4239;3919;8158
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

