 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314545 Olhos-d'Água
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";263;252;515
"De 5 a 9 anos";280;265;545
"De 10 a 14 anos";286;271;557
"De 15 a 19 anos";304;275;579
"De 20 a 24 anos";259;221;480
"De 25 a 29 anos";188;162;350
"De 30 a 34 anos";152;130;282
"De 35 a 39 anos";159;133;292
"De 40 a 44 anos";135;130;265
"De 45 a 49 anos";122;95;217
"De 50 a 54 anos";102;79;181
"De 55 a 59 anos";73;66;139
"De 60 a 64 anos";58;61;119
"De 65 a 69 anos";46;49;95
"De 70 a 74 anos";28;29;57
"De 75 a 79 anos";15;26;41
"De 80 anos ou mais";12;17;29
"Total";2482;2261;4743
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

