 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314580 Onça de Pitangui
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";110;105;215
"De 5 a 9 anos";112;106;218
"De 10 a 14 anos";87;118;205
"De 15 a 19 anos";125;118;243
"De 20 a 24 anos";146;152;298
"De 25 a 29 anos";115;108;223
"De 30 a 34 anos";97;101;198
"De 35 a 39 anos";103;106;209
"De 40 a 44 anos";137;120;257
"De 45 a 49 anos";121;101;222
"De 50 a 54 anos";110;99;209
"De 55 a 59 anos";101;86;187
"De 60 a 64 anos";74;74;148
"De 65 a 69 anos";45;60;105
"De 70 a 74 anos";42;41;83
"De 75 a 79 anos";28;34;62
"De 80 anos ou mais";35;35;70
"Total";1588;1564;3152
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

