 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314590 Ouro Branco
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1391;1329;2720
"De 5 a 9 anos";1488;1421;2909
"De 10 a 14 anos";1704;1636;3340
"De 15 a 19 anos";1951;1898;3849
"De 20 a 24 anos";1822;1742;3564
"De 25 a 29 anos";1411;1472;2883
"De 30 a 34 anos";1055;1128;2183
"De 35 a 39 anos";1052;1291;2343
"De 40 a 44 anos";1231;1372;2603
"De 45 a 49 anos";1285;1248;2533
"De 50 a 54 anos";939;857;1796
"De 55 a 59 anos";597;514;1111
"De 60 a 64 anos";355;330;685
"De 65 a 69 anos";245;282;527
"De 70 a 74 anos";146;188;334
"De 75 a 79 anos";118;152;270
"De 80 anos ou mais";79;119;198
"Total";16869;16979;33848
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

