 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314690 Papagaios
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";640;593;1233
"De 5 a 9 anos";749;712;1461
"De 10 a 14 anos";743;712;1455
"De 15 a 19 anos";683;676;1359
"De 20 a 24 anos";621;591;1212
"De 25 a 29 anos";597;575;1172
"De 30 a 34 anos";569;554;1123
"De 35 a 39 anos";571;513;1084
"De 40 a 44 anos";500;487;987
"De 45 a 49 anos";379;357;736
"De 50 a 54 anos";308;258;566
"De 55 a 59 anos";228;216;444
"De 60 a 64 anos";154;141;295
"De 65 a 69 anos";118;140;258
"De 70 a 74 anos";86;120;206
"De 75 a 79 anos";68;73;141
"De 80 anos ou mais";64;80;144
"Total";7078;6798;13876
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

