 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314795 Patis
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";243;232;475
"De 5 a 9 anos";313;296;609
"De 10 a 14 anos";348;305;653
"De 15 a 19 anos";327;302;629
"De 20 a 24 anos";317;265;582
"De 25 a 29 anos";220;190;410
"De 30 a 34 anos";184;154;338
"De 35 a 39 anos";188;149;337
"De 40 a 44 anos";157;136;293
"De 45 a 49 anos";133;94;227
"De 50 a 54 anos";98;133;231
"De 55 a 59 anos";108;96;204
"De 60 a 64 anos";89;86;175
"De 65 a 69 anos";62;66;128
"De 70 a 74 anos";53;50;103
"De 75 a 79 anos";28;38;66
"De 80 anos ou mais";21;33;54
"Total";2889;2625;5514
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

