 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 314970 Perdigão
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";370;319;689
"De 5 a 9 anos";360;372;732
"De 10 a 14 anos";373;391;764
"De 15 a 19 anos";438;369;807
"De 20 a 24 anos";498;437;935
"De 25 a 29 anos";433;427;860
"De 30 a 34 anos";368;348;716
"De 35 a 39 anos";361;349;710
"De 40 a 44 anos";314;302;616
"De 45 a 49 anos";248;264;512
"De 50 a 54 anos";263;204;467
"De 55 a 59 anos";158;157;315
"De 60 a 64 anos";144;156;300
"De 65 a 69 anos";108;123;231
"De 70 a 74 anos";85;99;184
"De 75 a 79 anos";69;52;121
"De 80 anos ou mais";49;68;117
"Total";4639;4437;9076
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

