 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315110 Pirapetinga
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";316;303;619
"De 5 a 9 anos";357;347;704
"De 10 a 14 anos";425;437;862
"De 15 a 19 anos";435;460;895
"De 20 a 24 anos";438;439;877
"De 25 a 29 anos";452;432;884
"De 30 a 34 anos";440;438;878
"De 35 a 39 anos";389;402;791
"De 40 a 44 anos";365;365;730
"De 45 a 49 anos";360;352;712
"De 50 a 54 anos";341;342;683
"De 55 a 59 anos";263;284;547
"De 60 a 64 anos";214;226;440
"De 65 a 69 anos";138;178;316
"De 70 a 74 anos";127;128;255
"De 75 a 79 anos";75;103;178
"De 80 anos ou mais";71;135;206
"Total";5206;5371;10577
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

