 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315130 Piraúba
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";373;325;698
"De 5 a 9 anos";390;365;755
"De 10 a 14 anos";385;412;797
"De 15 a 19 anos";445;435;880
"De 20 a 24 anos";464;471;935
"De 25 a 29 anos";439;436;875
"De 30 a 34 anos";400;417;817
"De 35 a 39 anos";361;356;717
"De 40 a 44 anos";399;403;802
"De 45 a 49 anos";382;417;799
"De 50 a 54 anos";371;327;698
"De 55 a 59 anos";325;285;610
"De 60 a 64 anos";220;248;468
"De 65 a 69 anos";193;176;369
"De 70 a 74 anos";161;149;310
"De 75 a 79 anos";120;141;261
"De 80 anos ou mais";118;153;271
"Total";5546;5516;11062
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

