 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315270 Prados
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";326;311;637
"De 5 a 9 anos";337;357;694
"De 10 a 14 anos";356;320;676
"De 15 a 19 anos";334;351;685
"De 20 a 24 anos";379;323;702
"De 25 a 29 anos";366;327;693
"De 30 a 34 anos";320;321;641
"De 35 a 39 anos";356;338;694
"De 40 a 44 anos";333;314;647
"De 45 a 49 anos";283;258;541
"De 50 a 54 anos";210;208;418
"De 55 a 59 anos";160;182;342
"De 60 a 64 anos";124;156;280
"De 65 a 69 anos";120;122;242
"De 70 a 74 anos";87;94;181
"De 75 a 79 anos";56;76;132
"De 80 anos ou mais";48;73;121
"Total";4195;4131;8326
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

