 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315280 Prata
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";924;881;1805
"De 5 a 9 anos";911;862;1773
"De 10 a 14 anos";982;899;1881
"De 15 a 19 anos";1087;974;2061
"De 20 a 24 anos";1139;1059;2198
"De 25 a 29 anos";1160;1060;2220
"De 30 a 34 anos";1165;1032;2197
"De 35 a 39 anos";1117;1074;2191
"De 40 a 44 anos";1076;1020;2096
"De 45 a 49 anos";1054;952;2006
"De 50 a 54 anos";971;866;1837
"De 55 a 59 anos";790;747;1537
"De 60 a 64 anos";653;595;1248
"De 65 a 69 anos";516;436;952
"De 70 a 74 anos";348;329;677
"De 75 a 79 anos";219;244;463
"De 80 anos ou mais";249;297;546
"Total";14361;13327;27688
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

