 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315350 Alto Jequitibá
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";262;249;511
"De 5 a 9 anos";261;243;504
"De 10 a 14 anos";267;239;506
"De 15 a 19 anos";315;257;572
"De 20 a 24 anos";356;294;650
"De 25 a 29 anos";309;297;606
"De 30 a 34 anos";313;303;616
"De 35 a 39 anos";311;297;608
"De 40 a 44 anos";299;294;593
"De 45 a 49 anos";265;267;532
"De 50 a 54 anos";265;274;539
"De 55 a 59 anos";269;252;521
"De 60 a 64 anos";221;249;470
"De 65 a 69 anos";209;174;383
"De 70 a 74 anos";120;116;236
"De 75 a 79 anos";78;95;173
"De 80 anos ou mais";139;158;297
"Total";4259;4058;8317
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

