 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315370 Quartel Geral
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";130;124;254
"De 5 a 9 anos";135;152;287
"De 10 a 14 anos";171;135;306
"De 15 a 19 anos";133;130;263
"De 20 a 24 anos";133;130;263
"De 25 a 29 anos";114;112;226
"De 30 a 34 anos";106;121;227
"De 35 a 39 anos";98;124;222
"De 40 a 44 anos";134;108;242
"De 45 a 49 anos";99;99;198
"De 50 a 54 anos";96;89;185
"De 55 a 59 anos";72;69;141
"De 60 a 64 anos";62;65;127
"De 65 a 69 anos";55;53;108
"De 70 a 74 anos";36;48;84
"De 75 a 79 anos";32;26;58
"De 80 anos ou mais";28;30;58
"Total";1634;1615;3249
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

