 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315400 Raul Soares
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";700;668;1368
"De 5 a 9 anos";699;673;1372
"De 10 a 14 anos";685;635;1320
"De 15 a 19 anos";703;742;1445
"De 20 a 24 anos";729;803;1532
"De 25 a 29 anos";795;795;1590
"De 30 a 34 anos";819;867;1686
"De 35 a 39 anos";790;858;1648
"De 40 a 44 anos";851;796;1647
"De 45 a 49 anos";844;891;1735
"De 50 a 54 anos";898;822;1720
"De 55 a 59 anos";812;802;1614
"De 60 a 64 anos";735;696;1431
"De 65 a 69 anos";529;558;1087
"De 70 a 74 anos";400;461;861
"De 75 a 79 anos";299;352;651
"De 80 anos ou mais";422;582;1004
"Total";11710;12001;23711
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

