 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315510 Rio do Prado
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";258;245;503
"De 5 a 9 anos";279;259;538
"De 10 a 14 anos";285;284;569
"De 15 a 19 anos";308;275;583
"De 20 a 24 anos";267;235;502
"De 25 a 29 anos";213;173;386
"De 30 a 34 anos";175;179;354
"De 35 a 39 anos";170;167;337
"De 40 a 44 anos";148;153;301
"De 45 a 49 anos";147;139;286
"De 50 a 54 anos";117;112;229
"De 55 a 59 anos";93;97;190
"De 60 a 64 anos";96;93;189
"De 65 a 69 anos";86;77;163
"De 70 a 74 anos";70;67;137
"De 75 a 79 anos";39;43;82
"De 80 anos ou mais";30;50;80
"Total";2781;2648;5429
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

