 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315630 Rodeiro
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";262;251;513
"De 5 a 9 anos";249;253;502
"De 10 a 14 anos";258;306;564
"De 15 a 19 anos";330;344;674
"De 20 a 24 anos";366;325;691
"De 25 a 29 anos";317;333;650
"De 30 a 34 anos";346;382;728
"De 35 a 39 anos";338;354;692
"De 40 a 44 anos";302;273;575
"De 45 a 49 anos";265;261;526
"De 50 a 54 anos";281;263;544
"De 55 a 59 anos";202;205;407
"De 60 a 64 anos";181;140;321
"De 65 a 69 anos";135;107;242
"De 70 a 74 anos";91;91;182
"De 75 a 79 anos";67;58;125
"De 80 anos ou mais";84;89;173
"Total";4074;4035;8109
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

