 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315710 Salto da Divisa
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";379;363;742
"De 5 a 9 anos";314;309;623
"De 10 a 14 anos";350;332;682
"De 15 a 19 anos";366;350;716
"De 20 a 24 anos";344;316;660
"De 25 a 29 anos";275;241;516
"De 30 a 34 anos";230;207;437
"De 35 a 39 anos";219;209;428
"De 40 a 44 anos";231;197;428
"De 45 a 49 anos";213;170;383
"De 50 a 54 anos";152;158;310
"De 55 a 59 anos";119;121;240
"De 60 a 64 anos";107;105;212
"De 65 a 69 anos";98;100;198
"De 70 a 74 anos";79;86;165
"De 75 a 79 anos";52;57;109
"De 80 anos ou mais";50;75;125
"Total";3578;3396;6974
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

