 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315850 Santana de Pirapama
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";274;282;556
"De 5 a 9 anos";365;341;706
"De 10 a 14 anos";369;353;722
"De 15 a 19 anos";371;350;721
"De 20 a 24 anos";361;320;681
"De 25 a 29 anos";340;313;653
"De 30 a 34 anos";313;264;577
"De 35 a 39 anos";303;260;563
"De 40 a 44 anos";298;250;548
"De 45 a 49 anos";259;227;486
"De 50 a 54 anos";244;217;461
"De 55 a 59 anos";202;202;404
"De 60 a 64 anos";170;165;335
"De 65 a 69 anos";165;147;312
"De 70 a 74 anos";119;128;247
"De 75 a 79 anos";88;91;179
"De 80 anos ou mais";83;94;177
"Total";4324;4004;8328
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

