 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315870 Santana do Garambéu
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";68;59;127
"De 5 a 9 anos";103;87;190
"De 10 a 14 anos";107;84;191
"De 15 a 19 anos";97;87;184
"De 20 a 24 anos";114;96;210
"De 25 a 29 anos";95;80;175
"De 30 a 34 anos";89;95;184
"De 35 a 39 anos";78;81;159
"De 40 a 44 anos";73;68;141
"De 45 a 49 anos";78;56;134
"De 50 a 54 anos";60;63;123
"De 55 a 59 anos";60;62;122
"De 60 a 64 anos";58;48;106
"De 65 a 69 anos";43;36;79
"De 70 a 74 anos";22;26;48
"De 75 a 79 anos";19;24;43
"De 80 anos ou mais";18;21;39
"Total";1182;1073;2255
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

