 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 315880 Santana do Jacaré
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";146;145;291
"De 5 a 9 anos";185;201;386
"De 10 a 14 anos";217;190;407
"De 15 a 19 anos";222;198;420
"De 20 a 24 anos";188;195;383
"De 25 a 29 anos";183;184;367
"De 30 a 34 anos";184;177;361
"De 35 a 39 anos";156;153;309
"De 40 a 44 anos";159;146;305
"De 45 a 49 anos";158;131;289
"De 50 a 54 anos";133;112;245
"De 55 a 59 anos";92;106;198
"De 60 a 64 anos";87;94;181
"De 65 a 69 anos";74;89;163
"De 70 a 74 anos";61;72;133
"De 75 a 79 anos";47;47;94
"De 80 anos ou mais";49;53;102
"Total";2341;2293;4634
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

