 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316040 Santo Antônio do Monte
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1042;996;2038
"De 5 a 9 anos";1200;1045;2245
"De 10 a 14 anos";1247;1101;2348
"De 15 a 19 anos";1206;1145;2351
"De 20 a 24 anos";1118;1052;2170
"De 25 a 29 anos";1165;1076;2241
"De 30 a 34 anos";1018;940;1958
"De 35 a 39 anos";948;926;1874
"De 40 a 44 anos";954;904;1858
"De 45 a 49 anos";799;766;1565
"De 50 a 54 anos";585;617;1202
"De 55 a 59 anos";499;523;1022
"De 60 a 64 anos";344;379;723
"De 65 a 69 anos";330;317;647
"De 70 a 74 anos";244;272;516
"De 75 a 79 anos";153;190;343
"De 80 anos ou mais";147;171;318
"Total";12999;12420;25419
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

