 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316490 São Sebastião do Rio Verde
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";77;74;151
"De 5 a 9 anos";67;77;144
"De 10 a 14 anos";80;88;168
"De 15 a 19 anos";78;93;171
"De 20 a 24 anos";83;78;161
"De 25 a 29 anos";81;74;155
"De 30 a 34 anos";74;68;142
"De 35 a 39 anos";82;87;169
"De 40 a 44 anos";87;83;170
"De 45 a 49 anos";76;71;147
"De 50 a 54 anos";71;63;134
"De 55 a 59 anos";59;35;94
"De 60 a 64 anos";34;35;69
"De 65 a 69 anos";31;42;73
"De 70 a 74 anos";32;25;57
"De 75 a 79 anos";20;28;48
"De 80 anos ou mais";17;26;43
"Total";1049;1047;2096
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

