 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316520 São Thomé das Letras
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";234;223;457
"De 5 a 9 anos";224;210;434
"De 10 a 14 anos";227;210;437
"De 15 a 19 anos";314;256;570
"De 20 a 24 anos";382;311;693
"De 25 a 29 anos";334;280;614
"De 30 a 34 anos";307;235;542
"De 35 a 39 anos";268;237;505
"De 40 a 44 anos";283;267;550
"De 45 a 49 anos";281;265;546
"De 50 a 54 anos";258;223;481
"De 55 a 59 anos";243;195;438
"De 60 a 64 anos";186;154;340
"De 65 a 69 anos";103;86;189
"De 70 a 74 anos";69;55;124
"De 75 a 79 anos";43;42;85
"De 80 anos ou mais";34;50;84
"Total";3790;3299;7089
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

