 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316557 Senador Amaral
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";311;261;572
"De 5 a 9 anos";283;258;541
"De 10 a 14 anos";267;287;554
"De 15 a 19 anos";284;273;557
"De 20 a 24 anos";282;209;491
"De 25 a 29 anos";248;214;462
"De 30 a 34 anos";236;191;427
"De 35 a 39 anos";211;176;387
"De 40 a 44 anos";156;149;305
"De 45 a 49 anos";128;138;266
"De 50 a 54 anos";114;95;209
"De 55 a 59 anos";79;71;150
"De 60 a 64 anos";66;55;121
"De 65 a 69 anos";58;45;103
"De 70 a 74 anos";37;22;59
"De 75 a 79 anos";24;18;42
"De 80 anos ou mais";12;9;21
"Total";2796;2471;5267
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

