 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316570 Senador Firmino
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";265;253;518
"De 5 a 9 anos";329;324;653
"De 10 a 14 anos";372;361;733
"De 15 a 19 anos";402;328;730
"De 20 a 24 anos";282;251;533
"De 25 a 29 anos";213;202;415
"De 30 a 34 anos";220;215;435
"De 35 a 39 anos";262;241;503
"De 40 a 44 anos";231;199;430
"De 45 a 49 anos";187;168;355
"De 50 a 54 anos";160;164;324
"De 55 a 59 anos";147;148;295
"De 60 a 64 anos";129;135;264
"De 65 a 69 anos";113;123;236
"De 70 a 74 anos";88;108;196
"De 75 a 79 anos";63;78;141
"De 80 anos ou mais";39;46;85
"Total";3502;3344;6846
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

