 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316580 Senador José Bento
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";27;25;52
"De 5 a 9 anos";31;29;60
"De 10 a 14 anos";47;36;83
"De 15 a 19 anos";62;45;107
"De 20 a 24 anos";61;54;115
"De 25 a 29 anos";53;45;98
"De 30 a 34 anos";56;41;97
"De 35 a 39 anos";47;50;97
"De 40 a 44 anos";47;51;98
"De 45 a 49 anos";67;54;121
"De 50 a 54 anos";78;61;139
"De 55 a 59 anos";68;62;130
"De 60 a 64 anos";63;54;117
"De 65 a 69 anos";50;41;91
"De 70 a 74 anos";36;34;70
"De 75 a 79 anos";22;30;52
"De 80 anos ou mais";29;32;61
"Total";844;744;1588
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

