 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316590 Senador Modestino Gonçalves
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";147;137;284
"De 5 a 9 anos";163;148;311
"De 10 a 14 anos";192;183;375
"De 15 a 19 anos";221;181;402
"De 20 a 24 anos";200;206;406
"De 25 a 29 anos";155;158;313
"De 30 a 34 anos";158;161;319
"De 35 a 39 anos";137;158;295
"De 40 a 44 anos";146;151;297
"De 45 a 49 anos";148;150;298
"De 50 a 54 anos";129;115;244
"De 55 a 59 anos";110;100;210
"De 60 a 64 anos";87;103;190
"De 65 a 69 anos";70;82;152
"De 70 a 74 anos";75;73;148
"De 75 a 79 anos";40;50;90
"De 80 anos ou mais";39;57;96
"Total";2217;2213;4430
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

