 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316700 Serranos
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";62;56;118
"De 5 a 9 anos";72;57;129
"De 10 a 14 anos";67;79;146
"De 15 a 19 anos";81;92;173
"De 20 a 24 anos";93;87;180
"De 25 a 29 anos";74;80;154
"De 30 a 34 anos";80;90;170
"De 35 a 39 anos";72;69;141
"De 40 a 44 anos";74;63;137
"De 45 a 49 anos";72;59;131
"De 50 a 54 anos";72;69;141
"De 55 a 59 anos";50;46;96
"De 60 a 64 anos";33;49;82
"De 65 a 69 anos";38;34;72
"De 70 a 74 anos";23;26;49
"De 75 a 79 anos";19;22;41
"De 80 anos ou mais";21;19;40
"Total";1003;997;2000
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

