 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316710 Serro
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";801;776;1577
"De 5 a 9 anos";934;956;1890
"De 10 a 14 anos";1169;1114;2283
"De 15 a 19 anos";1137;1079;2216
"De 20 a 24 anos";958;926;1884
"De 25 a 29 anos";826;774;1600
"De 30 a 34 anos";733;710;1443
"De 35 a 39 anos";639;640;1279
"De 40 a 44 anos";617;647;1264
"De 45 a 49 anos";633;626;1259
"De 50 a 54 anos";555;531;1086
"De 55 a 59 anos";431;451;882
"De 60 a 64 anos";339;354;693
"De 65 a 69 anos";259;284;543
"De 70 a 74 anos";196;247;443
"De 75 a 79 anos";153;207;360
"De 80 anos ou mais";182;276;458
"Total";10562;10598;21160
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

