 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316730 Silveirânia
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";64;53;117
"De 5 a 9 anos";75;72;147
"De 10 a 14 anos";105;95;200
"De 15 a 19 anos";113;94;207
"De 20 a 24 anos";76;85;161
"De 25 a 29 anos";82;86;168
"De 30 a 34 anos";69;69;138
"De 35 a 39 anos";81;80;161
"De 40 a 44 anos";92;65;157
"De 45 a 49 anos";91;73;164
"De 50 a 54 anos";90;75;165
"De 55 a 59 anos";61;53;114
"De 60 a 64 anos";48;41;89
"De 65 a 69 anos";36;33;69
"De 70 a 74 anos";32;43;75
"De 75 a 79 anos";36;24;60
"De 80 anos ou mais";20;20;40
"Total";1171;1061;2232
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

