 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316750 Simão Pereira
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";80;77;157
"De 5 a 9 anos";76;74;150
"De 10 a 14 anos";86;86;172
"De 15 a 19 anos";104;109;213
"De 20 a 24 anos";101;117;218
"De 25 a 29 anos";101;101;202
"De 30 a 34 anos";104;92;196
"De 35 a 39 anos";90;110;200
"De 40 a 44 anos";84;95;179
"De 45 a 49 anos";87;94;181
"De 50 a 54 anos";79;102;181
"De 55 a 59 anos";83;84;167
"De 60 a 64 anos";68;61;129
"De 65 a 69 anos";42;50;92
"De 70 a 74 anos";30;42;72
"De 75 a 79 anos";21;29;50
"De 80 anos ou mais";21;28;49
"Total";1257;1351;2608
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

