 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316770 Sobrália
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";200;192;392
"De 5 a 9 anos";204;203;407
"De 10 a 14 anos";193;188;381
"De 15 a 19 anos";201;191;392
"De 20 a 24 anos";215;208;423
"De 25 a 29 anos";187;218;405
"De 30 a 34 anos";161;187;348
"De 35 a 39 anos";166;193;359
"De 40 a 44 anos";165;203;368
"De 45 a 49 anos";183;189;372
"De 50 a 54 anos";189;186;375
"De 55 a 59 anos";172;170;342
"De 60 a 64 anos";150;151;301
"De 65 a 69 anos";107;116;223
"De 70 a 74 anos";83;98;181
"De 75 a 79 anos";70;83;153
"De 80 anos ou mais";99;115;214
"Total";2745;2891;5636
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

