 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316780 Soledade de Minas
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";249;238;487
"De 5 a 9 anos";213;208;421
"De 10 a 14 anos";230;235;465
"De 15 a 19 anos";249;241;490
"De 20 a 24 anos";246;236;482
"De 25 a 29 anos";233;233;466
"De 30 a 34 anos";191;184;375
"De 35 a 39 anos";201;184;385
"De 40 a 44 anos";206;187;393
"De 45 a 49 anos";180;182;362
"De 50 a 54 anos";154;154;308
"De 55 a 59 anos";115;126;241
"De 60 a 64 anos";115;106;221
"De 65 a 69 anos";91;98;189
"De 70 a 74 anos";64;68;132
"De 75 a 79 anos";50;47;97
"De 80 anos ou mais";40;59;99
"Total";2827;2786;5613
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

