 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316830 Taquaraçu de Minas
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";144;137;281
"De 5 a 9 anos";149;126;275
"De 10 a 14 anos";152;125;277
"De 15 a 19 anos";162;148;310
"De 20 a 24 anos";159;153;312
"De 25 a 29 anos";151;139;290
"De 30 a 34 anos";147;130;277
"De 35 a 39 anos";174;149;323
"De 40 a 44 anos";153;129;282
"De 45 a 49 anos";146;130;276
"De 50 a 54 anos";156;118;274
"De 55 a 59 anos";117;96;213
"De 60 a 64 anos";96;96;192
"De 65 a 69 anos";83;75;158
"De 70 a 74 anos";62;59;121
"De 75 a 79 anos";44;40;84
"De 80 anos ou mais";41;46;87
"Total";2136;1896;4032
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

