 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316890 Tiros
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";222;229;451
"De 5 a 9 anos";265;254;519
"De 10 a 14 anos";282;272;554
"De 15 a 19 anos";297;270;567
"De 20 a 24 anos";289;262;551
"De 25 a 29 anos";268;255;523
"De 30 a 34 anos";272;263;535
"De 35 a 39 anos";270;244;514
"De 40 a 44 anos";282;258;540
"De 45 a 49 anos";286;234;520
"De 50 a 54 anos";259;218;477
"De 55 a 59 anos";209;187;396
"De 60 a 64 anos";166;153;319
"De 65 a 69 anos";132;129;261
"De 70 a 74 anos";97;100;197
"De 75 a 79 anos";67;76;143
"De 80 anos ou mais";73;78;151
"Total";3736;3482;7218
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

