 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 316935 Três Marias
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1028;997;2025
"De 5 a 9 anos";1045;1074;2119
"De 10 a 14 anos";1211;1218;2429
"De 15 a 19 anos";1355;1374;2729
"De 20 a 24 anos";1354;1281;2635
"De 25 a 29 anos";1280;1236;2516
"De 30 a 34 anos";1274;1261;2535
"De 35 a 39 anos";1199;1217;2416
"De 40 a 44 anos";1084;1068;2152
"De 45 a 49 anos";1055;1045;2100
"De 50 a 54 anos";878;947;1825
"De 55 a 59 anos";796;774;1570
"De 60 a 64 anos";597;601;1198
"De 65 a 69 anos";439;424;863
"De 70 a 74 anos";274;283;557
"De 75 a 79 anos";177;194;371
"De 80 anos ou mais";189;210;399
"Total";15235;15204;30439
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

