 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 317010 Uberaba
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";9432;9055;18487
"De 5 a 9 anos";9942;9424;19366
"De 10 a 14 anos";11183;10514;21697
"De 15 a 19 anos";12468;11915;24383
"De 20 a 24 anos";13724;13176;26900
"De 25 a 29 anos";14202;13701;27903
"De 30 a 34 anos";13352;13171;26523
"De 35 a 39 anos";11555;11814;23369
"De 40 a 44 anos";10494;11194;21688
"De 45 a 49 anos";10161;11228;21389
"De 50 a 54 anos";9324;10432;19756
"De 55 a 59 anos";7691;8770;16461
"De 60 a 64 anos";5835;7071;12906
"De 65 a 69 anos";4215;5306;9521
"De 70 a 74 anos";3134;4119;7253
"De 75 a 79 anos";2209;3094;5303
"De 80 anos ou mais";2246;3695;5941
"Total";151167;157679;308846
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

