 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 317043 União de Minas
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";187;181;368
"De 5 a 9 anos";208;171;379
"De 10 a 14 anos";209;183;392
"De 15 a 19 anos";209;193;402
"De 20 a 24 anos";231;181;412
"De 25 a 29 anos";207;186;393
"De 30 a 34 anos";203;183;386
"De 35 a 39 anos";198;157;355
"De 40 a 44 anos";170;152;322
"De 45 a 49 anos";150;124;274
"De 50 a 54 anos";120;105;225
"De 55 a 59 anos";100;82;182
"De 60 a 64 anos";91;61;152
"De 65 a 69 anos";76;48;124
"De 70 a 74 anos";55;34;89
"De 75 a 79 anos";31;32;63
"De 80 anos ou mais";24;22;46
"Total";2469;2095;4564
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

