 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 317052 Urucuia
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";659;624;1283
"De 5 a 9 anos";720;706;1426
"De 10 a 14 anos";660;663;1323
"De 15 a 19 anos";683;609;1292
"De 20 a 24 anos";653;554;1207
"De 25 a 29 anos";469;420;889
"De 30 a 34 anos";369;321;690
"De 35 a 39 anos";320;294;614
"De 40 a 44 anos";293;249;542
"De 45 a 49 anos";233;207;440
"De 50 a 54 anos";193;179;372
"De 55 a 59 anos";173;164;337
"De 60 a 64 anos";156;136;292
"De 65 a 69 anos";130;103;233
"De 70 a 74 anos";91;66;157
"De 75 a 79 anos";58;48;106
"De 80 anos ou mais";45;49;94
"Total";5905;5392;11297
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

