 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 317103 Verdelândia
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";448;431;879
"De 5 a 9 anos";528;487;1015
"De 10 a 14 anos";576;528;1104
"De 15 a 19 anos";508;493;1001
"De 20 a 24 anos";417;396;813
"De 25 a 29 anos";365;327;692
"De 30 a 34 anos";267;246;513
"De 35 a 39 anos";228;228;456
"De 40 a 44 anos";219;199;418
"De 45 a 49 anos";181;158;339
"De 50 a 54 anos";144;133;277
"De 55 a 59 anos";112;118;230
"De 60 a 64 anos";86;99;185
"De 65 a 69 anos";74;78;152
"De 70 a 74 anos";54;54;108
"De 75 a 79 anos";34;28;62
"De 80 anos ou mais";26;40;66
"Total";4267;4043;8310
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

