 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 320020 Alegre
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1138;1071;2209
"De 5 a 9 anos";1389;1250;2639
"De 10 a 14 anos";1429;1363;2792
"De 15 a 19 anos";1478;1461;2939
"De 20 a 24 anos";1460;1396;2856
"De 25 a 29 anos";1268;1290;2558
"De 30 a 34 anos";1060;1137;2197
"De 35 a 39 anos";1042;1113;2155
"De 40 a 44 anos";1081;1146;2227
"De 45 a 49 anos";971;1024;1995
"De 50 a 54 anos";885;860;1745
"De 55 a 59 anos";695;709;1404
"De 60 a 64 anos";504;578;1082
"De 65 a 69 anos";439;477;916
"De 70 a 74 anos";388;402;790
"De 75 a 79 anos";294;311;605
"De 80 anos ou mais";290;373;663
"Total";15811;15961;31772
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

