 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 320070 Atilio Vivacqua
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";383;376;759
"De 5 a 9 anos";404;419;823
"De 10 a 14 anos";442;404;846
"De 15 a 19 anos";463;460;923
"De 20 a 24 anos";456;422;878
"De 25 a 29 anos";396;392;788
"De 30 a 34 anos";339;312;651
"De 35 a 39 anos";326;311;637
"De 40 a 44 anos";295;314;609
"De 45 a 49 anos";286;247;533
"De 50 a 54 anos";244;213;457
"De 55 a 59 anos";192;143;335
"De 60 a 64 anos";133;133;266
"De 65 a 69 anos";99;112;211
"De 70 a 74 anos";98;94;192
"De 75 a 79 anos";74;74;148
"De 80 anos ou mais";50;81;131
"Total";4680;4507;9187
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

