 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 320160 Conceição da Barra
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1419;1361;2780
"De 5 a 9 anos";1560;1423;2983
"De 10 a 14 anos";1446;1441;2887
"De 15 a 19 anos";1487;1460;2947
"De 20 a 24 anos";1432;1402;2834
"De 25 a 29 anos";1217;1204;2421
"De 30 a 34 anos";966;1032;1998
"De 35 a 39 anos";961;980;1941
"De 40 a 44 anos";821;839;1660
"De 45 a 49 anos";707;704;1411
"De 50 a 54 anos";576;595;1171
"De 55 a 59 anos";419;449;868
"De 60 a 64 anos";333;369;702
"De 65 a 69 anos";293;306;599
"De 70 a 74 anos";213;210;423
"De 75 a 79 anos";140;139;279
"De 80 anos ou mais";119;149;268
"Total";14109;14063;28172
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

