 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 320200 Dores do Rio Preto
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";270;235;505
"De 5 a 9 anos";290;300;590
"De 10 a 14 anos";298;285;583
"De 15 a 19 anos";276;282;558
"De 20 a 24 anos";283;287;570
"De 25 a 29 anos";298;272;570
"De 30 a 34 anos";248;236;484
"De 35 a 39 anos";223;230;453
"De 40 a 44 anos";230;235;465
"De 45 a 49 anos";222;187;409
"De 50 a 54 anos";183;171;354
"De 55 a 59 anos";158;141;299
"De 60 a 64 anos";100;129;229
"De 65 a 69 anos";79;82;161
"De 70 a 74 anos";64;50;114
"De 75 a 79 anos";42;52;94
"De 80 anos ou mais";44;63;107
"Total";3308;3237;6545
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

