 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 320225 Governador Lindenberg
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";441;422;863
"De 5 a 9 anos";440;407;847
"De 10 a 14 anos";458;436;894
"De 15 a 19 anos";492;472;964
"De 20 a 24 anos";515;450;965
"De 25 a 29 anos";456;380;836
"De 30 a 34 anos";420;392;812
"De 35 a 39 anos";430;391;821
"De 40 a 44 anos";385;321;706
"De 45 a 49 anos";333;268;601
"De 50 a 54 anos";234;228;462
"De 55 a 59 anos";191;181;372
"De 60 a 64 anos";140;169;309
"De 65 a 69 anos";131;137;268
"De 70 a 74 anos";103;107;210
"De 75 a 79 anos";77;62;139
"De 80 anos ou mais";61;75;136
"Total";5307;4898;10205
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

