 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 320250 Ibiraçu
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";426;408;834
"De 5 a 9 anos";469;464;933
"De 10 a 14 anos";544;506;1050
"De 15 a 19 anos";528;533;1061
"De 20 a 24 anos";546;514;1060
"De 25 a 29 anos";512;497;1009
"De 30 a 34 anos";387;433;820
"De 35 a 39 anos";395;415;810
"De 40 a 44 anos";366;355;721
"De 45 a 49 anos";305;306;611
"De 50 a 54 anos";263;267;530
"De 55 a 59 anos";178;209;387
"De 60 a 64 anos";163;168;331
"De 65 a 69 anos";115;131;246
"De 70 a 74 anos";100;100;200
"De 75 a 79 anos";67;99;166
"De 80 anos ou mais";71;99;170
"Total";5435;5504;10939
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

