 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 320300 Iúna
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1112;1138;2250
"De 5 a 9 anos";1174;1193;2367
"De 10 a 14 anos";1335;1251;2586
"De 15 a 19 anos";1208;1194;2402
"De 20 a 24 anos";1320;1295;2615
"De 25 a 29 anos";1267;1199;2466
"De 30 a 34 anos";1151;1155;2306
"De 35 a 39 anos";942;986;1928
"De 40 a 44 anos";924;971;1895
"De 45 a 49 anos";872;841;1713
"De 50 a 54 anos";724;692;1416
"De 55 a 59 anos";564;594;1158
"De 60 a 64 anos";422;455;877
"De 65 a 69 anos";352;347;699
"De 70 a 74 anos";261;267;528
"De 75 a 79 anos";157;179;336
"De 80 anos ou mais";179;238;417
"Total";13964;13995;27959
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

