 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 320410 Pinheiros
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1057;1029;2086
"De 5 a 9 anos";1101;1054;2155
"De 10 a 14 anos";1109;1031;2140
"De 15 a 19 anos";1130;1054;2184
"De 20 a 24 anos";1138;1110;2248
"De 25 a 29 anos";1092;1053;2145
"De 30 a 34 anos";929;912;1841
"De 35 a 39 anos";822;807;1629
"De 40 a 44 anos";760;721;1481
"De 45 a 49 anos";681;672;1353
"De 50 a 54 anos";581;598;1179
"De 55 a 59 anos";479;475;954
"De 60 a 64 anos";347;409;756
"De 65 a 69 anos";288;335;623
"De 70 a 74 anos";239;246;485
"De 75 a 79 anos";160;173;333
"De 80 anos ou mais";152;202;354
"Total";12065;11881;23946
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

