 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 330010 Angra dos Reis
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";7455;7112;14567
"De 5 a 9 anos";6714;6598;13312
"De 10 a 14 anos";7394;6978;14372
"De 15 a 19 anos";8466;8295;16761
"De 20 a 24 anos";8064;8187;16251
"De 25 a 29 anos";8125;8202;16327
"De 30 a 34 anos";8608;8653;17261
"De 35 a 39 anos";8402;8325;16727
"De 40 a 44 anos";6969;7064;14033
"De 45 a 49 anos";6415;6354;12769
"De 50 a 54 anos";5569;5679;11248
"De 55 a 59 anos";4814;4910;9724
"De 60 a 64 anos";3694;3614;7308
"De 65 a 69 anos";2577;2698;5275
"De 70 a 74 anos";1649;1716;3365
"De 75 a 79 anos";1000;1132;2132
"De 80 anos ou mais";884;1261;2145
"Total";96799;96778;193577
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

