 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 330185 Guapimirim
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1918;1829;3747
"De 5 a 9 anos";2236;2191;4427
"De 10 a 14 anos";2221;2202;4423
"De 15 a 19 anos";2150;2122;4272
"De 20 a 24 anos";2053;2191;4244
"De 25 a 29 anos";2009;2075;4084
"De 30 a 34 anos";1764;1846;3610
"De 35 a 39 anos";1644;1730;3374
"De 40 a 44 anos";1566;1642;3208
"De 45 a 49 anos";1334;1342;2676
"De 50 a 54 anos";1079;1094;2173
"De 55 a 59 anos";856;865;1721
"De 60 a 64 anos";652;650;1302
"De 65 a 69 anos";497;540;1037
"De 70 a 74 anos";371;395;766
"De 75 a 79 anos";250;270;520
"De 80 anos ou mais";194;275;469
"Total";22794;23259;46053
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

