 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 330340 Nova Friburgo
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";7059;6621;13680
"De 5 a 9 anos";7278;6896;14174
"De 10 a 14 anos";7318;6976;14294
"De 15 a 19 anos";7691;7610;15301
"De 20 a 24 anos";7786;8055;15841
"De 25 a 29 anos";7082;7574;14656
"De 30 a 34 anos";6835;7312;14147
"De 35 a 39 anos";6959;7451;14410
"De 40 a 44 anos";6471;7095;13566
"De 45 a 49 anos";5571;6240;11811
"De 50 a 54 anos";4642;5218;9860
"De 55 a 59 anos";3617;4061;7678
"De 60 a 64 anos";2743;3173;5916
"De 65 a 69 anos";2154;2624;4778
"De 70 a 74 anos";1682;2189;3871
"De 75 a 79 anos";1293;1895;3188
"De 80 anos ou mais";752;1351;2103
"Total";86933;92341;179274
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

