 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 330430 Rio Bonito
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1915;1848;3763
"De 5 a 9 anos";2372;2346;4718
"De 10 a 14 anos";2283;2198;4481
"De 15 a 19 anos";2334;2261;4595
"De 20 a 24 anos";2439;2516;4955
"De 25 a 29 anos";2446;2477;4923
"De 30 a 34 anos";2117;2242;4359
"De 35 a 39 anos";2036;2111;4147
"De 40 a 44 anos";1932;1938;3870
"De 45 a 49 anos";1750;1769;3519
"De 50 a 54 anos";1461;1449;2910
"De 55 a 59 anos";1188;1181;2369
"De 60 a 64 anos";867;900;1767
"De 65 a 69 anos";653;751;1404
"De 70 a 74 anos";491;588;1079
"De 75 a 79 anos";386;421;807
"De 80 anos ou mais";317;472;789
"Total";26987;27468;54455
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

