 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 330590 Trajano de Moraes
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";407;396;803
"De 5 a 9 anos";412;421;833
"De 10 a 14 anos";448;427;875
"De 15 a 19 anos";457;475;932
"De 20 a 24 anos";508;449;957
"De 25 a 29 anos";445;369;814
"De 30 a 34 anos";360;366;726
"De 35 a 39 anos";390;390;780
"De 40 a 44 anos";378;363;741
"De 45 a 49 anos";331;284;615
"De 50 a 54 anos";280;259;539
"De 55 a 59 anos";229;207;436
"De 60 a 64 anos";202;193;395
"De 65 a 69 anos";159;163;322
"De 70 a 74 anos";129;122;251
"De 75 a 79 anos";104;85;189
"De 80 anos ou mais";76;81;157
"Total";5315;5050;10365
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

