 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 330600 Três Rios
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2938;2784;5722
"De 5 a 9 anos";3028;2918;5946
"De 10 a 14 anos";3268;3224;6492
"De 15 a 19 anos";3143;3209;6352
"De 20 a 24 anos";3180;3308;6488
"De 25 a 29 anos";3139;3295;6434
"De 30 a 34 anos";2856;3075;5931
"De 35 a 39 anos";2624;2932;5556
"De 40 a 44 anos";2736;2966;5702
"De 45 a 49 anos";2534;2842;5376
"De 50 a 54 anos";2227;2519;4746
"De 55 a 59 anos";1772;2118;3890
"De 60 a 64 anos";1351;1628;2979
"De 65 a 69 anos";974;1239;2213
"De 70 a 74 anos";705;1012;1717
"De 75 a 79 anos";486;703;1189
"De 80 anos ou mais";426;779;1205
"Total";37387;40551;77938
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

